Substantiv;das;laufendes Konto;;tekući račun;/
Substantiv;der;Tresorraum;;trezor;/
Substantiv;die;Einzahlung;;uplata;/
Substantiv;die;Wertpapiere;;vrijednosni papiri;/
Substantiv;das;Appartement;;apartman;/
Substantiv;der;Hotelgast;;gost hotela;/
Substantiv;das;Hotelzimmer;;hotelska soba;/
Substantiv;das;Zweibettzimmer;;dvokrevetna soba;/
Substantiv;das;Einbettzimmer;;jednokrevetna soba;/
Substantiv;die;Hotelrechnung;;hotelski račun;/
Substantiv;der;Speisesaal;;blagovaonica;/
Substantiv;der;Zimmerschlüssel;;ključ od sobe;/
Substantiv;das;Bad;;kupaonica;/
Substantiv;der;Hausdiener;;nosač prtljage;/
Substantiv;die;Abmeldung;;odjava;/
Substantiv;die;Hotelhalle;;predvorje hotela;/
Substantiv;die;Rezeption;;recepcija;/
Substantiv;der;Empfangschef;;recepcionar;/
Substantiv;der;Geselschaftsaal;;svečana dvorana;/
Substantiv;der;Portier;;portir;/
Substantiv;die;Preisliste;;cjenik;/
Substantiv;der;Gast;;gost;/
Substantiv;die;Speisekarte;;jelovnik ;/
Substantiv;der;Kellner;;konobar;/
Substantiv;die;Kellnerin;;konobarica;/
Substantiv;die;Rechnung;;račun;/
Substantiv;das;Frühstück;;doručak;/
Substantiv;das;Mittagessen;;ručak;/
Substantiv;das;Abendessen;;večera;/
Substantiv;das;Dessert;;desert;/
Substantiv;das;Hauptgericht;;glavno jelo;/
Substantiv;die;Suppe;;juha;/
Substantiv;der;Kuchen;;kolač;/
Substantiv;das;Fleischgericht;;jelo od mesa;/
Substantiv;die;Vorspeise;;predjelo;/
Substantiv;die;Speisezutat;;prilog;/
Substantiv;das;Fischgericht;;riblje jelo;/
Substantiv;der;Salat;;zelena salata;/
Substantiv;das;Eis;;sladoled;/
Substantiv;das;Rindfleisch;;govedina;/
Substantiv;das;Lammfleisch;;janjetina;/
Substantiv;das;Hammelfleisch;;ovčetina;/
Substantiv;das;Hühnerfleisch;;pileće meso;/
Substantiv;das;Putenfleisch;;pureće meso;/
Substantiv;das;Rauchfleisch;;dimljeno meso;/
Substantiv;das;Schweinefleisch;;svinjetina;/
Substantiv;das;Kalbfleisch;;teletina;/
Substantiv;das;Wasser;;voda;/
Substantiv;das;Mineralwasser;;mineralna voda;/
Substantiv;die;Limonade;;limunada;/
